NME's New Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5322,nme.com
1,Tip Toe,53lm5Hj7ZYVv3JzuiDr74c,SAULT,1uRxRKC7d9zwYGSRflTKDR,7,19uWOx2aMKl7cdesfEyFms,31,https://p.scdn.co/mp3-preview/c7fcb2d0f75a3631734a79675c6fa203aa0f136b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Seven,0JnWDODEEVdGmnI13Ec4CO,Just Mustard,0wXaC3fHGVXbhwn5iLZMMi,Seven,3cNyfPEag1LgOHneSsMTlV,35,https://p.scdn.co/mp3-preview/27619588aa35d21fdba2bbd951ddb4c67f22d947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Second Guessing,0RqVERbWbIT2fVvOOvqcjr,Arlo Parks,4kIwETcbpuFgRukE8o7Opx,Second Guessing,70V6CskkJwrwwVVuFYnfok,56,https://p.scdn.co/mp3-preview/671b1b3b8970f935abd762a6d3f98522c8841b5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Vámono,623mI2F1iCO4cqGbv6WUVn,Buscabulla,0MoaBi6dSquXp6rrlqlF8R,Vámono,0DAtzeZ09MxUORBOwGWxF5,54,https://p.scdn.co/mp3-preview/aa4ffe6ba6f2b5b56d3b1cca6cfc75a559806ffe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ruptured,4WlU0d19lU2DQHsMWV54HY,SCALPING,3pMZZzAKwSIftJmwtEx56W,Ruptured,1KA6fI4VGosn5kfvMuDG4d,23,https://p.scdn.co/mp3-preview/9cbc5ba9631f4e99773bda7fc65ffc239728bd0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,The Wave,5pJcojrJEaHPD6zMdqwqHK,Barny Fletcher,5q9zHGohILrZ2j1bSL1VeG,The Wave,14R6eiLjiA9pVQDIv3SnbB,42,https://p.scdn.co/mp3-preview/7dc86a6725826a675660331cf3d9130bdd157ded?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Mammalian Fondness,0kfWbeLhPs7FTNrkzxk04W,YOWL,7vxLowmWcOSy76TOy9d3K3,Mammalian Fondness,02f1uJJ5VmzJw2O24mFA8j,24,https://p.scdn.co/mp3-preview/23db91f3338dbcdcb4e9ef1fbd3ed579ef0e05df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,"RACECAR (feat. Clairo, Coco & Clair Clair)",0E4oz7ZPWoALwDHeI0eLXZ,Deaton Chris Anthony,1n8hLoV90OhFCYXLtCD659,"RACECAR (feat. Clairo, Coco & Clair Clair)",5IdqV4LVc0zKqgR8s6PHG9,57,https://p.scdn.co/mp3-preview/ceab15649003ce69e820bf2c8686fc3921ba55b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Hawaii,3knvOg8WkS7sNKlmbxtjBV,The Lottery Winners,0LLilNa5TUAaUwJwLyOf2b,Hawaii,78W9rUkcnwxNGuuVdMq4DT,26,https://p.scdn.co/mp3-preview/652271f09ad9ce613b1a8d46047b804d85454ed3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,A Thing You Call Joy,6BVMPM8cIdCcuIzE9eaQlm,Sinead O Brien,0Nron4wq7uF2TwLodaVRHr,A Thing You Call Joy,3Sk4sce4BbWf39FqTG1ANk,31,https://p.scdn.co/mp3-preview/29d03f943966904c2f4868745b3b9a6566ecfd37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Domino,1WKxHsBkyNkObN6GMznsPw,Corridor,4nn9uUq4K1vStqxe8t1CD4,Domino,0jGCUAMjtIs7T4wskjitc5,30,https://p.scdn.co/mp3-preview/f8d515d8df9e4a2812994d6e1b484e8c7b51c565?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,lucy,0api41GfHCbdAsDyO3R7TL,Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,lucy,1Q0MRKHYaHJiZqa1JdswCA,56,not available
13,I Wish I Was Stephen Malkmus,0MXwuLvZU9cauIEXlMZcdC,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,I Wish I Was Stephen Malkmus,75TCL3IpDAOclMk0PveSNM,56,https://p.scdn.co/mp3-preview/6503a9db3ce7a76e7309a6b2fdbcf3e536cbc6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Stop Selling Her Drugs (feat. Dominic Fike),4uBQDAzZ881KYZvW7ZInUn,Bakar,3K2Srho6NCF3o9MswGR76H,Will You Be My Yellow?,12nH1R4NqEtaOQ5M7RA63p,56,https://p.scdn.co/mp3-preview/2cd2bc8bfd062d5ea9752f3db0a3b10e8845199b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Will I Get,4NtmjfgDduMALkgyNgAeeN,Glows,26bQE33uUmcNp1jdowPRz4,J.L. HOOKER LOVE PLEASURE FOREVER,26NL4VD1URCCfWOSfdb79Y,12,https://p.scdn.co/mp3-preview/488adf6fafceb50bdeff60536113e49fbdd23ecf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Vortex,75h12u7KJOjjchkW51JACI,Nova Twins,7I95CM75shzCjHuTzrepjM,Vortex,4jB3C86Abj1KIDXpMndxz0,30,https://p.scdn.co/mp3-preview/b5fef8674c601044b05308315843be2b336e33f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Beta,2AfXarK4dUVFqGnDEawi04,Model Man,2T5NLCuN31j79zbxZ2XCSA,Beta,1BXRCtST2nFH3C85Oux481,36,https://p.scdn.co/mp3-preview/1919500ab6ca964033a3937f1cfc88439772b01d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Money Back,1WxGYhVXtYJAMeZN5F3Wy3,Zuzu,4GcpGBggb1BbFfG4jS2Wpm,Money Back,3jlfgMZ8I9c7J87vUqknhS,33,not available
19,Mountains,0w0kClmKsQz5A6OecdwhVt,Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,Mountains,251uvmlPX4D3UiH4zGtj66,54,https://p.scdn.co/mp3-preview/fd4fbdddd740a114d7f1b2f8a51f1ef7368a6288?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,unspoken words,0XUU1fzICK7484jpGnfGvd,mxmtoon,0HthCchcL0kVLHTr113Vk1,the masquerade,5mNk0mLiGcJHLGiT0mjHmX,58,https://p.scdn.co/mp3-preview/e84441e51658a2d8d8b45ff38b187da84c2f63dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,10/10,0tByDZgQzoNfFFmpgleB0s,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,10/10,1dIQCUmv1flCLWByivrbxQ,76,https://p.scdn.co/mp3-preview/c4c347185ae8a5646fb7ab3f8b17a9f34a18d248?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Oh Mama,13DbxCSqTGBlrrV3YRloJl,Twin Peaks,1xD85sp0kecIVuMwUHShxs,Lookout Low,37VSh8Ug3lCkXB7fuPfHKJ,37,not available
23,Heaven,2d3f9Nkg7s7C7KUylAnZjS,Pumarosa,2iWb4skzSlf6dMTu1DS18J,Heaven,7EpE9lIjUi6H8xCnVUsg2L,38,not available
24,Skeleton Key,4060BrMu5pqQZUUXFvpre1,Omni,4wBhllC5Nto10UefzXVMt9,Skeleton Key,3Ttd4RpgA0mZq7rxGIvc3A,37,https://p.scdn.co/mp3-preview/cfabd11cc012a5dd9d24273b446e78a7f1e8263f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Petty Thieving,3dxAvrqRv4KENeZTpACrnJ,FEET,7HeBQpJ3UmyybgEvqfdRAE,Petty Thieving,0KrIYFiZf4hEzi2BXUFfKp,40,https://p.scdn.co/mp3-preview/af00bb478ab4bfa50dd712b482c6f6b6e073b9fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Destination,4DbAllY1LsR4kADffo3JEY,AMA,5hzFTGZcy6Rqme2qNC2vUm,SCREENLUV,7bcoGxwffsLWo3H8VtgzTI,23,https://p.scdn.co/mp3-preview/9f1994a13dd7019b48185f1b9aade88378f28da8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
