Shisha Club,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,588854,spotify_germany
1,Roller,5dhQeuLGmlhfwlI6BWfSpo,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Roller,3RJvPSUpz8E4b6SjectOPu,89,https://p.scdn.co/mp3-preview/cb7ceb09ae50ffccfeb5af1ba67df7741b374587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,87,not available
3,Kein Ende (feat. Ardian Bujupi),3wneKl0jkJWUdOcEhlwZCg,Payy,5p4B4WSKIGvSfhc90GMxw9,Kein Ende (feat. Ardian Bujupi),0DmSm3Jgyfce6Ip2fyEo9p,62,not available
4,Kein Plan,1skUhc3JS3jLCfugI3gm41,Loredana,2Im8m4STDBosjfmb5hmP80,Kein Plan,0a4KL551wKL7l8O6xU0nlB,82,https://p.scdn.co/mp3-preview/b19d69a058bd8ab5fa42b794148b1bf7959ad2bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Augen Husky,5prGTLP3EeAVa7UFXkwF4d,Olexesh,2Z9KL8Zmqx5Sg3cd7Fldhl,Augen Husky,2jfJ4pk8n5UU91PDGQYCKX,78,not available
6,Sie liebt es,0vUmK3r7a0IRci5t4rFG6l,Remoe,2Q570lQPWiuP2dCOP69jO3,Sie liebt es,4z0fN0d9akw37GPeNgFLWK,61,https://p.scdn.co/mp3-preview/2e11a1ce07c1cf9be33d59a32c729b36222f0480?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,200 km/h,2wvLtM25eMpHK7hkidqte2,Apache 207,1qQLhymHXFPtP5U8KNKsm6,200 km/h,7luwJPM1BvU87SuNJJ1cnO,85,https://p.scdn.co/mp3-preview/d19bbb43c7a479d47dc9e7b022b3933f0d6bb5a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Genick,1AGjF8pckOxTGeb5zubyqH,Loredana,2Im8m4STDBosjfmb5hmP80,KING LORI,0m9pMIOYMHxRj6E9IRFacP,81,https://p.scdn.co/mp3-preview/543e8de403cd1af7df2b1131cacdad18db5a97c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Run Run Run,65NX0qTlnZTDYzTypKfOWD,Capo,5y9wg9qkGBl0n9v9RzaPKu,Run Run Run,7uq7CHKIM2QXQRD1IHo5YD,78,https://p.scdn.co/mp3-preview/fee938c25e21a662986f1bfb2698757df7449e10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Junior Neymar,2y2Y9NYYK9pSqbTIaSxu1X,EREN CAN,0UwDgULqasKVT9gjTZsmIn,Junior Neymar,3RyvVfnUma4hVmkXnRQl9N,76,https://p.scdn.co/mp3-preview/a8cddd1b246aea12245993e3be4184fb9ce811d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Hadi Gel Gezelim,7qklRDXUBfZK7Lruq6U9XP,Ali471,2hH16roqnQFy0PdSmgZRSJ,Hadi Gel Gezelim,5mP9LQRBZoTSymDDrBlE8X,71,https://p.scdn.co/mp3-preview/8a50a18ceb7f5b26c17b5a40ded79baeee353322?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Adriana,4G3gFk4oyvt8klQEVJBzea,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Adriana,1BLoY0XQ3Yywsbk2Xkl6aT,80,https://p.scdn.co/mp3-preview/d226e48803dc42f4f264a6d9327fec44a944b50b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Nummer 1,3drwaFqLSEjqzjNRbjap0R,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Nummer 1,4r5dAGL40wuZHyaIEZfdIP,79,not available
14,gENAuSo,5nmVf5dSgH4A25qsev28Mi,Dardan,3pjq2pDV9RR6VY55wBjVnp,SORRY...,24hHNi75352fzhqiorank2,79,not available
15,Eiskalt,52UVKsw31NTOCTNPTpwbFJ,Loredana,2Im8m4STDBosjfmb5hmP80,Eiskalt,1X8ggfiXeKkGhGp4zAxQcb,80,https://p.scdn.co/mp3-preview/823e6b41d1c27c07661f33dbedfc62018fd4d922?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Primetime,1pUaqU8EUStLTqERPzcp3O,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Primetime,5zQdT56mkxwZx08V98cEIp,79,https://p.scdn.co/mp3-preview/1fe84ecd5e471eb5cb0e8b20beeb9814fbeeacbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Paradies,0KVMii9yiSjh4az2KzAWnl,Mika,5PLCJ2Wlc2BV0d4gCYdRTc,Paradies,4d5SCgozpe3oA1SKQVCwN5,76,https://p.scdn.co/mp3-preview/a8cab21acb78888fa58230f0364893ee14fe322a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Im Rhythmus gefangen,6gKOawgWqBvLXpKMp1307L,Capo,5y9wg9qkGBl0n9v9RzaPKu,Im Rhythmus gefangen,3cTdP7Uobuqc251bifJd92,41,https://p.scdn.co/mp3-preview/c53c75705bb06e90705ee88b8dd31e4e6a580f07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Nur mit Dir (feat. Xavier Naidoo),6hh1ikcv3CPsq3a7e9ItNR,Shirin David,0JBdTCGs111JKKYfLqOEBa,SUPERSIZE,3xn49rF06ySf38NiRyfoN6,77,not available
20,1 Dafür,4mPRK3gGRnyhAGBFInOWPe,Fairuz,5p2vF9IrTj62R94zqqliwy,1 Dafür,6993ANAwPxJfb7nIaNEQQQ,50,https://p.scdn.co/mp3-preview/74ae55e2457906cfd749c0215faad1da8bc69f91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Simsalabim,7kFXrVcv9VJELb4tcF7TxX,Edin,7jkdo74SDT1PYu6Ksbusxa,Simsalabim,6ziwY6nWPyWXVJSOEhpdDf,63,https://p.scdn.co/mp3-preview/83abe79e1ab7f7d9026917df738fee08110ed787?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Meine Hand,5raQQliFM0RvfFl1YfKXg8,MERO,5wyWp867LWGjFmYZXVSFnZ,Meine Hand,573Ks6i1vxP1S1umEvFXkw,73,https://p.scdn.co/mp3-preview/755527435efa274ef298ce89325e78dea97068f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Rahat,6n39IzCJ6O6utv65Lcku6X,Ardian Bujupi,0pOruKWwgyqSLZhn4Xovs9,Rahat,3mM3HpK7WiItHlCk9uRnII,65,https://p.scdn.co/mp3-preview/ceb96d1ebfd718ab2cf7fae16a3cace5abd618ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Hakuna Matata,0m7efS7TCdIEBMRxvp9WFz,Remoe,2Q570lQPWiuP2dCOP69jO3,Hakuna Matata,2AvoyuMs70mGU0ZBNBSbnu,32,https://p.scdn.co/mp3-preview/fa62ce100868213d3fb530e37d35f18836b21caf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,2002,2u8AXJyk8pICzj2wyPBL0b,Sido,4Yttlv9ndGjCDCVLqM7ACq,Ich & keine Maske,3jdqYXotnRgQwG3HTniNdH,82,not available
26,Papi (feat. badmómzjay),6Q2qQTdLNfOubXXXzMNgwd,Monet192,60uPSVM3svOL8kZ3Wkb3Zw,Papi (feat. badmómzjay),3jMW30QnDuif9ZjyK2rIzB,70,https://p.scdn.co/mp3-preview/d0d69cffc956a5af46b0dad876a3421fdede8d49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Pookie (feat. Lil Pump) - Remix,1Tk4KVBLxD8CMAy6vJoDF3,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,Pookie (feat. Lil Pump) [Remix],0jyCBzd1EswEJ3erS61cT3,70,https://p.scdn.co/mp3-preview/30a11d945c82c5edffde39550c8e3173957587b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Meine Liebe,27gUK2KmhFlSdLwobN8bGu,Ardian Bujupi,0pOruKWwgyqSLZhn4Xovs9,Meine Liebe,10RMS8Ut6ViL2F7foXezGZ,64,https://p.scdn.co/mp3-preview/99eec91bb4e03c4e78edb4406369bfff8f2e6a66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Bombay 2019,09cv2QaH3zaiDadUiiKEDY,Snipe,0cmSPg2VT43juuvNRLs535,Bombay 2019,6j3gUghBRUqR9mS2Bl9CcN,59,https://p.scdn.co/mp3-preview/ac4e6d0264511b0fcf08f38f7616497929e3ac36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,kAdaLe,18VRnJOBksZVjCwwvMazA3,Dardan,3pjq2pDV9RR6VY55wBjVnp,kAdaLe,4ra3wmZYnWtYKwzv5CPjaW,67,not available
31,Barrio,3mbGX2yy83BtCiPO59mE5r,Olexesh,2Z9KL8Zmqx5Sg3cd7Fldhl,Barrio,1P7Blp133JaG0bqG2oiNH3,71,not available
32,Eine Nacht,5CdV97QuSkGJguBKW5qOAf,Belah,16p58qwRDJuScHWUUtv7Tt,Eine Nacht,6ZxWcg1vSOXnfu9YA3kfJX,62,https://p.scdn.co/mp3-preview/0b023c87a0df21e4853fee0a5401bd6b97d5178b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,QDH Family,2lx8Ir3TlI7bcZa3yE7x5X,MERO,5wyWp867LWGjFmYZXVSFnZ,UNIKAT,3BtNr9u1bGdzAZx2wiKzfk,71,https://p.scdn.co/mp3-preview/3cf406640c174e61368efde0b55ebd81d589d2fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Wieder Lila,2kkcJ8tSDV42LdWcPjy6We,Samra,6h1s4i4XKIYv4ErDelLDN0,Wieder Lila,2e1TJGCwd9Q5AIvA78yD00,79,not available
35,Panamera,5SkaY4UZ513XhXb9SpQpbt,Hava,3Mn6d673ieRza7uw6zY2Zv,Panamera,02lzdmwvpXq2vVPqQvlni0,67,https://p.scdn.co/mp3-preview/0851c08d6a9fff232680771ff4efb5df3918fab9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Fuego,1ni4vHCGWKkG4IQnKzn2aY,Florentina,7adCbfW9aRcBxWhuuSNXTo,Fuego,2F4l2hS1nP4m5MzAI3iitq,16,https://p.scdn.co/mp3-preview/18ca757f2243ef6e1109e7d1aac70b17388164fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,UP IN SMOKE,01vR5Z7AHinp9D2wu2BNQS,RIN,18ISxWwWjV6rPLoVCXf1dz,UP IN SMOKE,6Zq6DgJmYHyHtZbM9DhOPJ,81,https://p.scdn.co/mp3-preview/e7e2971fd976911743aa10a3f0937dd44e4745c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Jetzt rufst du an,5opjywL6TBjJRF22TcFDMo,Loredana,2Im8m4STDBosjfmb5hmP80,Jetzt rufst du an,046InGzRvfWK1iWMJNKeBL,77,https://p.scdn.co/mp3-preview/a867adcc5b85bcba0b975d05d8a9192c3c5cfc63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Nummer,7HCTUZPqclRvsiefXWwyFz,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Nummer,3Ju5XitdRwtzziWPj4KuID,73,https://p.scdn.co/mp3-preview/9018de0b11a220622db50ff5e74bd631f827fbb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Cuba Libre,3SyC8iTq2hLlFD2S2eZVHZ,JIGGO,5Pmsa0FeoMFWsjhpo2bIAK,Cuba Libre,5iCDmcySVXVRlzc84qeA37,61,https://p.scdn.co/mp3-preview/854cf70d2f2e74c92aa5841d48a8eb532a6c83fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
