Hit Rückblick,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,213208,spotify_germany
1,Zu dir,4ij2vmffYpMjCTDd38vvEV,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,65,https://p.scdn.co/mp3-preview/67f00ab3fa1e72e08586c575dc5f2695c6081f6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Change Your Mind,4kOlyvj9WiPrI4zpmzKAeA,ELI,63gbXCha1jpkrJJ9K5gGpR,Change Your Mind,60PSfBhVSZFJj302rOs4DY,63,https://p.scdn.co/mp3-preview/924b2708dc291b8a6e4a2d8c0a6dfc33e3d5d1c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Rooftop,637yH6Qs3wXdgjPjO7QGdr,Nico Santos,3A9B6c1CrSPauiOblw7pWz,Rooftop,4xkfGQYu4OIPiAqant9Az5,17,not available
4,Phänomenal,5Tz9FKVUOPZ5nMIbuAlRx4,Pietro Lombardi,387fj6TuPJ3y2H8ViAm6r0,Phänomenal,72GncchT8FkKNDfG7lRfit,63,not available
5,Je ne parle pas français - Beatgees Remix,0LH2h4pwiX1iY3KDuONOb6,Namika,0HSc7yUdNSosxRb2UJnXlz,Je ne parle pas français (Beatgees Remix),63aClD1eR2iy2edftkal6g,63,https://p.scdn.co/mp3-preview/81205d7cfa5ceae8ab749340c1663fe0a1feae0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Leiser,1fTzkQQ4oH5TIN8HnSbjCa,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,66,https://p.scdn.co/mp3-preview/8be9b895f9f1b3dfe4a0990a8e67b74aa761910c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,These Days,5CLGzJsGqhCEECcpnFQA8x,Rudimental,4WN5naL3ofxrVBgFpguzKo,These Days,2sjjFDjZSCYD5eBCsi0fDW,81,https://p.scdn.co/mp3-preview/57f9b45cd318070b04945fc6c8a7e50eaa7f8971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Never Too Late,2t0S4nEnedjJIQ08pWA8wA,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,Never Too Late,5MRJgor9sRxiqOFZeCmq4k,55,https://p.scdn.co/mp3-preview/0161f2ddf0dad3c4a50bc62cc9bf880a4afb3008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Vagabund,3yhaXZury9ZUpfXvdvuWiB,Bausa,13bDjug9N0pyv3ZUINjkDV,Vagabund,67YdsiVy31rptZvo887NrP,67,https://p.scdn.co/mp3-preview/1d0a9f326fa08a51313b3c16a435dd30b2240aa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
