Vice Versa,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Comme un homme,4YNZfWy9ShCwrTR6E4Whmo,Madame Monsieur,1tQn5gWbo3ee6n2Z52ogY5,Comme un homme,5sgyhQWHNjak8MUKIEAb3n,36,https://p.scdn.co/mp3-preview/20d05b2c99e3195d85c962aecf02d9a60104dd43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Nous deux,5WcW7qcdyPgCrteSgFYSxa,Lorenzo,62zLrboqOTPyozwi721CVy,Sex In The City,43QKj7lqltgm5UYQlUpviO,68,not available
16,Malade,0MEriM1ajYAQOZTzLSz7o7,Roméo Elvis,2pHk4wAmL7ofTAuvCIUWtv,Malade,1eIniQ2guWFsP20TY0Y0FV,57,not available
17,La paix,6huXmdhodYUOvqxOeYxxiQ,KIKESA,3U0pUvFUMv6gJiTFnXiueY,La paix,07O2BI61MPELgWFjk9UnRJ,58,not available
18,Jalousie,3U5x1rplpJNKR3Xg88EfLi,Angèle,3QVolfxko2UyCOtexhVTli,Brol,6KSvWFf4g4PrIldtchJsTC,64,not available
19,La Flamme,4NULXLBBujnGk19Q0jkjI0,Ciranda,5rilUnd1xrWqhXn0KRFZyt,La Flamme,31hZCa3VzCSq0PKqRl7u1c,43,https://p.scdn.co/mp3-preview/84b3814b498abcdf35d8a5475017acdaafc23051?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Noir,6bu5BxvutFmO1oxUSC9V2e,Yseult,1QsdzIKkTT5gDFj8GB1cIX,Noir,5cwPosAmmGuDabA4A5hgpe,44,https://p.scdn.co/mp3-preview/cb2568f67a6c62ed6ba582f4a17ca33053b7ff70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Au revoir flemme,2HszpYD1dis3F543wWvUri,James Baker,0enzx5Bq2F7Rq5BN9kWXJl,Au revoir flemme,0VPRr1mlwifja3Txlw3spp,40,https://p.scdn.co/mp3-preview/ad53e63b2d75a54b123cafca24958012d483fc16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Un œil sur le monde,0YXlxNpMOKnifdkYpzrSgI,Bekar,6wjkiUBMMYSIx5UBTp7eKC,Boréal,2yIk8AnQH6AUpirQ2UE7yk,40,https://p.scdn.co/mp3-preview/ea651f1d238f7971d140693b2b59a5555a1e80be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Ma dernière chanson triste,4mtjfzEig3HWkXegZ5lejc,Lonepsi,5iu7PzNW2d8xKOE8IsXgef,Ma dernière chanson triste,24YEpSV9X8ONMawmuz5ZcZ,52,https://p.scdn.co/mp3-preview/a59b8ae834d9844e702e7203475a5442c84fa0de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Ton âme,1AGA2F1j9AQNc4elkux5tG,Tsew The Kid,0SXZ0s0MoLOjw4Af6i3OGC,Ton âme,7oP4YpdfxnQwSItXfcD7bE,53,https://p.scdn.co/mp3-preview/c3e479c8c57a9aefa3eec0fca74d30b6570bdaf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Problèmes,5TTbl1xdMZ3qs6kpOFygaE,2TH,5FK0v12GGmqj8kzmiWDPRT,Rêver plus grand,3u9AHZKkUUX0VjZsbtvDtl,52,https://p.scdn.co/mp3-preview/916a6193c0b4eb9208e3aed91c10071884959b07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Quand arrive mon train,63IlYsLcrJ7EdPOaGBgMfs,Checler,4EouoR9tt0atpWnMyI7hhB,Checler,73WbXqFMs3ruYOA4lYyEAT,40,https://p.scdn.co/mp3-preview/5f3e39af6a13e07e95be4c25170cb16dfea5dcb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Ça tu le savais,03G6zvLypBx5cS0k00LhNZ,Leo Fifty Five,1ytH8uFCe1l9mxfqUUnYMF,Ça tu le savais,4XVHOhoYnJa8S5M5P5jupB,36,not available
28,Arc-en-ciel,07qHCBBSRswIsfs0waYdjC,Booba,58wXmynHaAWI5hwlPZP3qL,Arc-en-ciel,5dBfQBBlUS4pRWLxQxDu2S,71,not available
29,VBT (Very Bad Trip),1OaLGlP8Ydjn1YT5HV8Iml,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Ceinture noire (Transcendance),1YXFTSMHY8kqwiJDDuOIrH,45,https://p.scdn.co/mp3-preview/a6cdaf3aa64d1486d12a0737df9ce1ac9485dbb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Parano (with -M-),17avURbq8QQo7kQDU6xN6L,Roméo Elvis,2pHk4wAmL7ofTAuvCIUWtv,Chocolat,6hIAy4WsqxwWnGvZYdjnHO,57,not available
31,Relations,5LXELovh5URwmbq2MAnkOi,Lonepsi,5iu7PzNW2d8xKOE8IsXgef,Relations,1L6rB13l1V82HtRnZH5DKq,54,https://p.scdn.co/mp3-preview/10151a29309ad7af5802763b2f5e2a121be9096a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Promesses,29eR89Zvti2fOAHD0d3MPh,Bigflo & Oli,5mmEMfYChd6MImBagU7zCs,Promesses,0vVBCR0bF2lHH3vIwvDWcP,65,not available
33,La lune à 3h du mat,33tIiGFOxwA7GUMKFJPWMY,Maxenss,6WK6ZRBhoIRXA8xkAvhMKv,@,4n69CiYZJPt8OsAtVlp0Dw,48,https://p.scdn.co/mp3-preview/4991a848d28962c14b3a16b3412f9adbc709f31d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Comme si j'avais mille ans (feat. Kalash Criminel),0CT9pmOBDNKSkyXN79xlWq,Madame Monsieur,1tQn5gWbo3ee6n2Z52ogY5,Comme si j'avais mille ans (feat. Kalash Criminel),3ZB4Vg5fhpH3ycohwJX5RY,41,https://p.scdn.co/mp3-preview/0583636634a32821f17a2e2d4287ce2efddad93a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Si l'on s'aimait,194EbjYVVctFCeTqt69ykU,Féfé,6p4AluOj2RxnUuPWwZLTxN,Si l'on s'aimait,39E6bYT7X3BkaZSNXiQmWG,35,https://p.scdn.co/mp3-preview/9e9034c6cf1a84b378eb9d4a35a64cf02ed461b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Les Femmes,1nAvcbLIPeOenCaOcYJVcA,Esken,6YASQSJPMeUFm0rpMXY0p1,Les Femmes,2THNG4lTe9NnAz0MVuSWRt,38,https://p.scdn.co/mp3-preview/cd9076221bf8299b2e71dd15f9ab22f042419a02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Pas l'time,4qporALiRuA4OQEKzyZApn,L.E.J,7kKKMBmEtyQcPb9idicNr7,Pas l'time,0DaCsbmjWnfr7k7NWsWT4V,50,not available
38,Oasis,2izgZJSzJ3V4CEsTMOyg8R,Joanna,5k7czLtvpvADY4FkRnTS4p,Oasis,3zKUeEap48o6Y4wNwXPiYg,40,https://p.scdn.co/mp3-preview/a70e1c4c4eddfae5bcf069b7af9cfeef293f5774?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Seul à ma fête,1XhXVceOXyUir4ICS1XyLD,Arthur ELY,65WEveY2gA6BSkkkpT8jrl,En 3 lettres,1apzKO8xoAWY6Q2NItpGHZ,18,https://p.scdn.co/mp3-preview/db1089b9fdb80a7b3e32e6e6f0e185d8aca8160d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Blabla,2lsJRhioew4iPjAL1uDhR9,Columbine,5AAzeysphag0NxJxLbbVla,"Adieu, au revoir",5XSzhGiCSa5bTqJCj6lKm0,53,not available
41,Encore,0ftMJYpr5gkOBThOugDI0J,Achile,21KPPMcnfzFYt3yseua9Nl,Encore,4OA54qa6k0NBB0MIxSGRN0,39,https://p.scdn.co/mp3-preview/91fc6c6a7d42e824d9040a61339a9b07192d57df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Temps de partir,0J1cUzjU7vCTN6T2l1nz4G,Symon,52DXMcWGGdZOwQyckYP4je,Temps de partir,4JomnjDA7O2w6Y7A1MS5JD,18,https://p.scdn.co/mp3-preview/7e81c4784d8d4652ad60f287d935546686b49b13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Sans arrêt,2L3i2IKlL4P8EidSygG1LV,S-Cap,0QnJqGTE9dmUsJrBVwrn4x,Sans arrêt,5jFDuk7g4JxxOETILWpmpQ,33,https://p.scdn.co/mp3-preview/15c9a22d7873b2a0a3c1e8679ffe53dc099236bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,DIS-MOI TOUT,1HhKOp7G52dDOq01tXGKON,SEIN,3yzbFaV6xhSrprxo5ugMQk,DIS-MOI TOUT,71Z8oiZ0pMskkpGZVM9xDj,38,https://p.scdn.co/mp3-preview/d8e0c43cebd3f39794186672d65ad0e47123de8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Libre,0cAXAXBtwOyC2WDXlSIHYh,Arthur ELY,65WEveY2gA6BSkkkpT8jrl,Libre,0fOLHPP1A4gZfaTrORK0Ma,36,https://p.scdn.co/mp3-preview/05fd2ac61ea9daf8a494ab42c714aaf529e676a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,"Sometimes, All The Time (feat. Charlotte Cardin)",1TMnpuh2ZlvW5knZ0UCxV1,Loud,5DXzQwj6Kgr5kBjVlYdSHo,Tout ça pour ça,07eQ3k3LkvX5820gAvZU6c,43,https://p.scdn.co/mp3-preview/e21581d5569974cf8566fdffa2cce9b526fb9e02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Chemins différents,1hXcOzWskdA2E7yRPHmeKu,Yve,31pi2oX6vhU14DL7lFq6gt,Chemins différents,5rUb5Yz508qN1V7sHAn3Zv,17,not available
48,J'en ai rien à faire,0jhZamI7Cn9Spa2n6Hpy5I,Alice et Moi,1NcCVE1FRpBSlN3LcAfhn3,J'en ai rien à faire,2CwK3GVLvGjpfWsbBXkZO6,41,https://p.scdn.co/mp3-preview/e478a85d48c8bac379f508179587b4b5ef8a9be8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Blues aride,3j3lomNOjy2X0vNg8Ab7Ro,Balik,6TazzHewPSEDGRhiMAXCxP,Parenthèse,2zQwjwubNyljwFX1AuZOfD,35,https://p.scdn.co/mp3-preview/306ca785c7f3ba210ff3d7c918e392f9ec02e916?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Matin opaque,6UjM6RmEyLHg4seG02Iggq,DIMANCHE,6MsCfqVfYdqNtpeHG26tTB,Matin opaque,1bqJPxLJ5aCENGA2Zo4JVy,25,https://p.scdn.co/mp3-preview/25ba735fc9d48a0fedfae3609db3a80a76474804?cid=fa83a2fec7c440b7a2795d600d6b2c7e
