Los 90 España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,735715,spotify_espa%C3%B1a
1,Pajaros de Barro,4B6ko7lt1sUtyFzBDF4yfK,Manolo Garcia,4eBTqTx5ssOK5YwmijmfU4,Arena En Los Bolsillos,0bFrRKmqzgPqL1ej485WLf,62,https://p.scdn.co/mp3-preview/0b48cdb004115cae10cb775d77eb50acaee126ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Pero a tu lado,3JOXwHPhtdRU3kYKcf64Gj,Los Secretos,2KEDbpUlz9nwtGywHT4gyf,Dos Caras Distintas,5J74XM1KLvoz4KgdNZczcm,60,https://p.scdn.co/mp3-preview/2722b76598ba4baefdc377d89386e391fc663e2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Noches de bohemia (Radio Edit),1JpZMDDAkfhnrO6nXIQZ2g,Navajita Platea,14QPRrwRDAiUhdGC6D3VpE,Desde Mi Azotea,79Le8lGTHNh1tB8RaY7xPH,58,https://p.scdn.co/mp3-preview/d126dc66d6f079649266905d5a788753f614af42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,No Dudaria,7gD2QkknRa4ZvlRVyU6ZO0,Antonio Flores,6GwZIG7UlxQR6n9kO8QlV6,Lo Mejor de Antonio,5MNMIC5qrwu3O05iPZgkYw,55,https://p.scdn.co/mp3-preview/b94046669ccb2595cbd45967b8ac97ec95d4bc00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Como un burro amarrado en la puerta del baile - 2008 Remastered Version,0IUFjvwlh18TWiTi6kO5pP,El Último De La Fila,2jMYTBTCSNYaCYy54mLc6I,Las 101 canciones - Cinco décadas de Pop Español,3v3s1YhnnWUkQnZMotDz5U,57,https://p.scdn.co/mp3-preview/81665aaab0bef9daf8029ba5b52fcb9a1ad9fde5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Quiero tener tu presencia,3f2k0XTc2ZXG17jEMDu8pp,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,Furia Latina,44qXGSYAvbnwci400nEDpe,63,https://p.scdn.co/mp3-preview/36253d886fc8cce0880315787c5e1dc84833fe1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Por el bulevar de los sueños rotos - 2017 Remaster,633Z9EGuNeZ6fXvjD1gnN6,Los Secretos,2KEDbpUlz9nwtGywHT4gyf,Una vida a tu lado,70dpunRY8eeTVFX7dYhrFR,34,https://p.scdn.co/mp3-preview/374bcc71623e05ab70aa34646bde0bd54ac15985?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,19 Dias y 500 Noches,4Kii4OhkRIezu0KjOiFq0G,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,19 Dias Y 500 Noches,77DRPELNfIZQWWVNvcgk36,54,https://p.scdn.co/mp3-preview/ddda1e552af5f228eb6bb3a015bfb60a1db11422?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,El sitio de mi recreo,2tkMVjFwDzUCG3ulmz3fCb,Antonio Vega,0r4YtlmJPQk1xhiVKHuPeF,Canciones 1980-2009,07JZVPABSbkGmTHDHDCt6u,56,https://p.scdn.co/mp3-preview/9e20849a987928bca004fe3d3e03276b89876a57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
