Club Beats,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,487103,spotify_germany
1,Monster - Robin Schulz Remix,4tknhO5RmXIxnpoipMKBmG,LUM!X,0TKFPt9w0AAEnhB9bd0pLy,Monster (Robin Schulz Remix),67PtnkGcMlHCa1RcYSzleO,71,https://p.scdn.co/mp3-preview/c4477416c098d00469bb05f5ec9011e39a1d1eb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Uno,726eK39u0CnsEGAcA3GYaF,John Christian,4I4ZRmxuOEADKSea0rNq3h,Uno,3joJnJFx5mKZbZjLNEKI1C,52,https://p.scdn.co/mp3-preview/bdaa8fb35f46fbf252ca213a956cc8a5a470af43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Don't Wanna Grow Up,2tMlQjYL6Zn4L0IuMThFgd,Klaas,25sJFKMqDENdsTF7zRXoif,Don't Wanna Grow Up,34s2MmLjdaw4oEy319E5vB,58,https://p.scdn.co/mp3-preview/e4844cab9805ae85a3d189311c871e5546a3b5f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Lights,5bTHzXSlXIWSq3Xyf4QiAL,YROR?,1cKpoey0DOEBKj6gNA5LO9,Lights,1t5PtWOXMTZXxUkiJUdIve,47,https://p.scdn.co/mp3-preview/da795e4bbf36a0f00bb8a709403045a575fcc8d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,I Won't Let You Down,2nhOcoGRNAhU3bIfCAOPWN,Matt Nash,0hxW1uZPEjt4wuu9wNDF2y,I Won't Let You Down,31goC61Zg3Hy19w3MZdvtW,61,https://p.scdn.co/mp3-preview/0e91c26944e5953863c5594d9ebe4718fa0282fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Floetry,2RFmYZ6WCURKQqqawE0Z2x,BIJOU,3abRKajGbb3kLMy9AWzfMA,Floetry,34bW51gYtFJ5SbGMJosMTr,48,https://p.scdn.co/mp3-preview/c9bafd250be2133f57482154908d9e4250c415b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Use Me,1ePOsX1LvCH5N8tNE2nnEj,SKIY,39JhQRThBhrHgjXtIK3dGZ,Use Me,7Ehvtvjx2RXiZZQ7km4XD7,54,https://p.scdn.co/mp3-preview/4b0f8accbfa912988a99bea991f41610fdf0fa6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Let's Rave,6014S4lz1nNXsgv02Pd5RF,Topic,0u6GtibW46tFX7koQ6uNJZ,Let's Rave,0iqullTJLwy46ChNVc0HhC,60,not available
9,WE'RE BACK,5SXmji0iHvrjanTEWOgs02,Marten Hørger,0EdUwJSqkMmsH6Agg3G8Ls,WE'RE BACK,53cBoSybvXcVo7xkr7LuUU,48,https://p.scdn.co/mp3-preview/9d6133fffdebd73e904330de16b5d5bbb74e501b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,My Spine Is Tingling,5rjpu5k6zRyHCb0JS0sHH3,Will Sparks,1u7OVFmWah4wQhOPIbUb8U,My Spine Is Tingling,5dYXfWct79NDApZOZsKBeM,58,https://p.scdn.co/mp3-preview/82bd63e3687b5ffad6c77959358acbcf8f0d0f3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Wanna Dance,1CW7tYkpJ95c7bQkRf6CcK,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,I Wanna Dance,3niF8tyjfJw8pmfc6VYKGa,71,not available
12,Techno Prank,4t8ilMPQ7E7S6pB4i4Kf2I,Dubdogz,4cdyqaBREB68H77QKCrKP1,Techno Prank,3Z2HRuveZpq2065RwsIwuI,71,https://p.scdn.co/mp3-preview/c5ef98dfd9651c64e0921944d24a825acc5ee3f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Buckwild,33TwUjc06fV20Yfxxpa9k3,Sebastian Bronk,4Iau0oBg23all6HbsD98lm,Buckwild,3Wo18nVDGnHliiBJLPTTs3,46,https://p.scdn.co/mp3-preview/9ee6a2afde995f49f6d809fb2d8f6a6aae3ccf7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
