Los 90 España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,735202,spotify_espa%C3%B1a
1,Noches de bohemia (Radio Edit),1JpZMDDAkfhnrO6nXIQZ2g,Navajita Platea,14QPRrwRDAiUhdGC6D3VpE,Desde Mi Azotea,79Le8lGTHNh1tB8RaY7xPH,58,https://p.scdn.co/mp3-preview/d126dc66d6f079649266905d5a788753f614af42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Y Sin Embargo,7v2xvireH6Ba3FREa5wsRP,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,"Yo, Mi, Me, Contigo",0C4Nm6vpiyldyOKNAESuSI,55,https://p.scdn.co/mp3-preview/d6af29d861a6dc51c8d402758ef0de99c688947a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Pero a tu lado,3JOXwHPhtdRU3kYKcf64Gj,Los Secretos,2KEDbpUlz9nwtGywHT4gyf,Dos Caras Distintas,5J74XM1KLvoz4KgdNZczcm,59,https://p.scdn.co/mp3-preview/2722b76598ba4baefdc377d89386e391fc663e2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Como un burro amarrado en la puerta del baile - 2008 Remastered Version,0IUFjvwlh18TWiTi6kO5pP,El Último De La Fila,2jMYTBTCSNYaCYy54mLc6I,Las 101 canciones - Cinco décadas de Pop Español,3v3s1YhnnWUkQnZMotDz5U,57,https://p.scdn.co/mp3-preview/81665aaab0bef9daf8029ba5b52fcb9a1ad9fde5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Pajaros de Barro,4B6ko7lt1sUtyFzBDF4yfK,Manolo Garcia,4eBTqTx5ssOK5YwmijmfU4,Arena En Los Bolsillos,0bFrRKmqzgPqL1ej485WLf,62,https://p.scdn.co/mp3-preview/0b48cdb004115cae10cb775d77eb50acaee126ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Siete Vidas,1gh0aMZmO6o30LS12lEJWQ,Antonio Flores,6GwZIG7UlxQR6n9kO8QlV6,Cosas Mias,2rqrgczcddiTbZ9Hsf6inT,57,https://p.scdn.co/mp3-preview/e4c333d1920fe6cf769e6be1e236cf93f563ceb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,19 Dias y 500 Noches,4Kii4OhkRIezu0KjOiFq0G,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,19 Dias Y 500 Noches,77DRPELNfIZQWWVNvcgk36,54,https://p.scdn.co/mp3-preview/ddda1e552af5f228eb6bb3a015bfb60a1db11422?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Quiero tener tu presencia,3f2k0XTc2ZXG17jEMDu8pp,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,Furia Latina,44qXGSYAvbnwci400nEDpe,62,https://p.scdn.co/mp3-preview/36253d886fc8cce0880315787c5e1dc84833fe1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Lo echamos a suertes,1EBYkBMIU9nWRCLsot4DN2,Ella Baila Sola,6xvRfsmnwd0qcDUomtlmAt,Ella Baila Sola,7bxkE1uwNfUmBpDPyhHh2R,57,https://p.scdn.co/mp3-preview/ab56bd2f9a06f1d0445d59a8b8abc46dadf5106a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
