Karaoke en Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,416850,spotify_espa%C3%B1a
1,Caraluna,4XTMj7kd8DHLl0r7ghmEAr,Bacilos,1mux8L6xg2Cmrc7k0wQczl,Grandes Exitos,5WGN7m5BK95GiuafTCL3JQ,71,https://p.scdn.co/mp3-preview/cf4fe4a741da944052250838e9ad6577a7b41e9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Procura,7xmp7f74I0rxUOPjVuIOE8,ChiChi Peralta,5GNSVtCq2hiXDx7jUA5Iou,Pa' Otro La 'o,5T29t6GK83ntYYu3kjUMar,11,not available
3,El Sol No Regresa,1npDfdIgKSiOwtDJJqgeBw,La Quinta Estacion,7FZj349hdLfD6qzXkJLuAh,Flores De Alquiler,3akKzcllmwsg5jq6TK4P1d,10,not available
4,Colgando en tus manos (con Marta Sánchez),3UI9I3e1g1y5T3SMfdgfGO,Carlos Baute,3smfreCkyJt7bShaTYpG77,De mi puño y letra - Edicion Coleccionista,1cz8fhax6HNiCSE1uuV2Vs,75,https://p.scdn.co/mp3-preview/d516cf9159df2722a3f7f8d4cb117d39c2442b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Morena mía,0tSE3FNeqYVuTQIy1s67Az,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,Colección Definitiva,0nEL8RK9TM7RD6oTzv27Zf,61,https://p.scdn.co/mp3-preview/3164e42e1f32003fcdd6a0c7b0b13e3433d4d88c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Yo No Sé Mañana,7nDIflSHQXzaa8zupxwv3U,Luis Enrique,2mUI4K6csTQd3jieswcmiI,Ciclos,63irJwZoWLRUc1lBKtuxmQ,73,https://p.scdn.co/mp3-preview/74891187474ca171644f18fbeabfccf502031e8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Es Por Tí,3b1IQflSLrgzYQPGFzI9cl,Juanes,0UWZUmn7sybxMCqrw9tGa7,Un Día Normal,2UJCnSqpR3AIuTvWYZLCp1,73,not available
8,Antologia,1I1DRPWM8iIYEbsuGMbaR3,Shakira,0EmeFodog0BfCgMzAIvKQp,Grandes Exitos,3JhHRFetUgAWw376a3sk6C,66,https://p.scdn.co/mp3-preview/d256ccd6697df6dda28bca40e61e0672ffdc9877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Un Año,5BDP2tky8oMQJPS33frKVp,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Un Año,4Vtx3PxyOfBUBuEYAIocsP,80,not available
