Chilled Pop Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,198718,spotify_uk_
1,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid),3E12WU80fDMyu7GyIAx7wJ,95,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,2wY79sveU1sp5g7SokKOiI,How Do You Sleep?,7baaCf70tVcUBL2bbkuXjo,97,not available
4,Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Find U Again (feat. Camila Cabello),1GySemCUsaTUREhIPAF3hH,80,https://p.scdn.co/mp3-preview/80c0b6e9248e7c684425557e497ea30764c4e9d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered,4BQVnx1yJrDa1tcky9D9N6,86,not available
6,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Bones,3RGvoMBGhoY43FudUpVvqo,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Bones,2umIONJdwiF43nstu1xtpI,65,https://p.scdn.co/mp3-preview/7e2d8ab2c455868f2fcc2a9de484b56c5cc26465?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Hurt Again,3JPXFD2aJ4dHPMnGwo41bO,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,Inner Monologue Part 2,2f4Ejh4Po2rpuXSYa6IDCe,73,not available
9,Hate How Much I Love You,2v00WuRHH1WdnXxlHnyURi,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Hate How Much I Love You,14XTLEelUegZgKjQ6XI5oA,71,https://p.scdn.co/mp3-preview/e3ea1416f684310c23fbc6547a01cf2548f75d64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
