Flow Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,292243,spotify_espa%C3%B1a
1,Dispuestos a morir,1d1N1JZfKYI0Pj5TXzs4vy,Natos y Waor,1QJbbsxg2wqidJj51d3otw,Dispuestos a morir,1eZImwU3n4ThWraWJP3jSC,67,https://p.scdn.co/mp3-preview/090defeb3755249d3e0620fe9ea4079e73c89b23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Ready to Fight,3vaCe6uWWFd3PKwVC6zepK,fernandocosta,5dC7EcwWdf9Qj4VvJab4rZ,Ready to Fight,6UjR9HjJHZdseeS3HMPuuv,57,https://p.scdn.co/mp3-preview/323c56182d38d4baae149eccd3e0323df59b07f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hustlers,1EWTDtSiBIbmbeB40bjL5W,Natos y Waor,1QJbbsxg2wqidJj51d3otw,Hustlers,0FymtZk1Q0YqyHGFdyn0KM,61,https://p.scdn.co/mp3-preview/884580e0d2773ec8e2a24300f1ad3fd8c06e69ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Pa que lo gocen,7BMdZsDXxPH6Db3Ug6A2q2,fernandocosta,5dC7EcwWdf9Qj4VvJab4rZ,Yipiyou,7euTtDGIoACenU5iWH6tr2,65,https://p.scdn.co/mp3-preview/6b8597d6b9fe2fd509ef47e96b716e3c2f3257ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Reproches,3L6RhaS4ISh8GSagrFMFZn,Ayax y Prok,5Ypafuz95Xk09YDf4tgAvU,Reproches,1rGEWKEdDvDx5Ij1oxpRfs,64,https://p.scdn.co/mp3-preview/d5a468cc6fe417e9f6bc9a24e4edc8f595ccbe60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Malamanera,4YePGWYi0BlfbMMjcN1dr7,fernandocosta,5dC7EcwWdf9Qj4VvJab4rZ,Malamanera,52MXXCMIlNCS0LTI9UXwL3,63,https://p.scdn.co/mp3-preview/958d1df89ba1fa741091f919fcfea5d4588afe1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Gato de callejón,0oZcn59qdiUrfpYspKFpsW,Natos y Waor,1QJbbsxg2wqidJj51d3otw,Gato de callejón,0kImWUz6yYBLGJUZ2LcrDS,61,https://p.scdn.co/mp3-preview/6a966d7428214933fe92c8f0cbe1585ac9616a5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,IDEALES,7H1fc5qB3ptaP687LeH8Ea,Blake,2FwMmxiCWQhEyO9k0nOyNF,IDEALES,3seC9aOerYdmD16D4XbUC5,60,https://p.scdn.co/mp3-preview/5b7bfc8ffd65aa66191c6125f902d93d0970fbab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Piratas,3qip0w84KOrKFeXV8THbSi,Natos y Waor,1QJbbsxg2wqidJj51d3otw,Cicatrices,1lASvFkra4rNUh4QNZS0u1,62,https://p.scdn.co/mp3-preview/e11671fb69f043dd59d69af3a2df34996a33f0e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
