All Out 60s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1702084,spotify
1,God Only Knows - Remastered,6iGU74CwXuT4XVepjc9Emf,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Pet Sounds (Original Mono & Stereo Mix Versions),6GphKx2QAPRoVGWE9D7ou8,70,not available
2,I Got You Babe,6eN6IFp4ppKBPT61dylWWl,Sonny & Cher,71lGEtP9qYXDsSXjfexTqO,Summer of the 60s - Rock & Pop Classics,3uQweQlV3pbbZI0eRQEH9M,51,https://p.scdn.co/mp3-preview/aefc2da104b3209c73b236fa189a946ee9dfe8b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,Blowin' Your Mind!,7dsWupQRlFuhG8FGiQAUjC,80,https://p.scdn.co/mp3-preview/cb2b0096b08796c0c1cfeb31b9a9802ce0a3b44a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Daydream Believer,7uEcCGtM1FBBGIhPozhJjv,The Monkees,320EPCSEezHt1rtbfwH6Ck,"The Birds, The Bees, & The Monkees",2Ov6zb7NfgDh3EXSIIWrb2,69,https://p.scdn.co/mp3-preview/78e3cbc2384dd58ad61c81dea32dc4694118bc12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"I Can't Help Myself (Sugar Pie, Honey Bunch)",6DfAdJWkHIRUiYsuYoAfim,Four Tops,7fIvjotigTGWqjIz6EP1i4,Gold (International Version),7AetomzAid1LhjAQSMxWIx,12,not available
6,To Love Somebody,3rGFsUgyH9GbbYJT4iwbhJ,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Bee Gees' 1st,7vuSqubgqkVA95zgz0R44a,17,not available
7,(What A) Wonderful World,2g2GkH3vZHk4lWzBjgQ6nY,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,The Man Who Invented Soul,3Seie4YIVLWtPw2hQrouNY,73,https://p.scdn.co/mp3-preview/8aaf03977a5caa7ab2995e71e07b735a77c9a8de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Good Vibrations - Remastered,2oF7FZHIJbzjeEXZ3D0Ku4,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Good Vibrations 40th Anniversary,2kgmLqUim1JdglABNIc5zn,67,not available
9,(Sittin' On) the Dock of the Bay,4Y4Gd3ty8uut6Qw43c7yJc,Otis Redding,60df5JBRRPcnSpsIMxxwQm,The Dock of the Bay,0kSkzG0sfuG4lRuFF5jWVr,64,https://p.scdn.co/mp3-preview/f4a5f20ce3896f0a7a7cb335ff7b544cf0219a9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
