102 Songs For Matador’s 100th Anniversary,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,707,matadorrecords
1,My God Is The Sun,1Pc3gTtQG4Cq1x81NcXtCN,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,...Like Clockwork,06S2JBsr4U1Dz3YaenPdVq,57,https://p.scdn.co/mp3-preview/cbc9edb84d93fc9ce6ae15173f87cc5b1404087a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Submerge,5y8Phx28mVWM7AeoUCxARQ,Come,22RwrhdRUSRNCLnwSef2oz,11:11 Deluxe 20th Anniversary Edition,4bChXYaUxng9rPKkeCm4nv,4,https://p.scdn.co/mp3-preview/e36add442242999679ac84e2794f774339a9f575?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Black Albino Bones,5VUnYhQwbIh2hcLLXG6X3v,Fucked Up,05C3EDw4Rf0qMhrdjFKncL,The Chemistry Of Common Life,1TDPhnvxa03XSmacMFovvK,19,https://p.scdn.co/mp3-preview/00665c46e01bb75751d12a295f9a314dbe8be851?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Paper Trails,6rqONVHOT73QecUdJ5HVHy,DARKSIDE,2933wDUojoQmvqSdTAE5NB,Psychic,7jqNrm1l4wSxNYSjgK7tmF,55,https://p.scdn.co/mp3-preview/3aef7a55c513b2789fc00603a0d9f0d79c2807f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Legal Man,2IiiqB8gS65iBvEfUWp65M,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Push Barman To Open Old Wounds,5E1aS75EL1XSYfYceVUaOE,0,not available
6,Texas Never Whispers,42rENmgZk1xqeyp5SgXmem,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Slanted & Enchanted: Luxe & Reduxe,5STExWe03BwKEXMWCLWjug,0,not available
7,Pat’s Trick,54w5UPmlp7pgQfQUpdk9mD,Helium,7mefbdlQXxJVKgEbfAeKjL,The Dirt of Luck,4KJaUvkYQ93TH4MxnJfpPh,23,https://p.scdn.co/mp3-preview/020e8be9178a13cee4b0be94503f25dc10992646?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Evil,6B182GP3TvEfmgUoIMVUSJ,Interpol,3WaJSfKnzc65VDgmj2zU8B,Antics,58fDEyJ5XSau8FRA3y8Bps,66,https://p.scdn.co/mp3-preview/99f10107099aa5257143dfc62aca2e4d9fb8993d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,City’s Full,0UE3IEvNmqi7CyUqDZXScU,Savages,1WFsBUAgQmrGQQEUyFKS60,Silence Yourself,0aMC5DDAF86GvYNPaivEKd,28,https://p.scdn.co/mp3-preview/536b41583f244790dad3f3d6ed4e1d7200680e12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Queen,3VzRBOVcABRjlIhu11OQn5,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Queen,5JYC2lqvTESgpElo0QDkMy,0,not available
11,Dang,7wCghWVZ7EPEEWRxMgEJ7v,The Jon Spencer Blues Explosion,2NOhotupwYbKRNJF7LMDPG,Orange (Deluxe Edition),2ny0CPhXMGpJ8PrhTcEAfz,0,not available
